Order Date	Order ID.1	Order ID.2	Customer Name.1	Customer Name.2	Segment	Country	City	Location	Product ID.1	Product ID.2	Product ID.3	Category	Product Name	Sales	Quantity	CompanyName	Expiry Date
01/01/2020	UZ	553061	Nuzhah	Ganim	Corporate	Kuwait	Kuwait City	Site	JTS	JX	3087487	Award	IT Support Award	21250	17	Tianguis	null
01/01/2020	TS	625921	Yushua	Bahar	Consumer	Pakistan	Lahore	Site	OFF	AP	10000252	Courses	Graphic Design	1750	1	null	null
01/01/2020	BZ	621520	Alicia	Morris	Consumer	United Kingdom	Warrington	Site	FUR	FU	10002554	Courses	Microsoft Powerpoint	299	1	null	null
01/01/2020	JV	774093	Budayl	Sarraf	Consumer	Pakistan	Lahore	Site	NKY	BR	34151625	Award	HR Award	1499	1	null	null
01/01/2020	DG	623982	Jay	Parkes	Consumer	United Kingdom	Warrington	Site	LEH	QW	75048957	Award	HR Award	1499	1	null	null
01/01/2020	OM	679456	Abdul-Badi	Almasi	Corporate	Pakistan	Lahore	Site	FUR	TA	10001095	Courses	Python	3850	11	Giant	null
01/01/2020	HG	2377	Sophia	Turner	Corporate	United Kingdom	Warrington	Site	OFF	ST	10000060	Award	Microsoft Office Award	45000	30	The Flying Bear	null
01/01/2020	ZS	910626	Hamidah	Mustafa	Consumer	Pakistan	Lahore	Site	LUT	PQ	14762430	Diploma	Executive PA Diploma	4500	1	null	null
01/01/2020	NU	283763	Elias	Tewelde	Corporate	Kenya	Nairobi	Site	OFF	AR	10001446	Award	Microsoft Office Award	13500	9	First Choice Garden Maintenance	null
01/01/2020	PR	484154	Kidane	Berhane	Corporate	Kenya	Nairobi	Site	TEC	PH	10001536	Diploma	Microsoft Office Diploma	75000	30	Advansed Teksyztems	null
01/01/2020	TM	501652	Sunbul	Hajjar	Consumer	Pakistan	Lahore	Site	OFF	BI	10002071	Award	Microsoft Office Award	1500	1	null	null
01/01/2020	RG	602090	Abaalom	Hagos	Corporate	Kenya	Nairobi	Site	TEC	AC	10002637	Diploma	Social Media Diploma	9499.95	5	Environ Architectural Design	null
01/01/2020	MT	682601	Asmarina	Sebhat	Home Office	Kenya	Nairobi	Site	MVA	RD	41577447	Diploma	IT Support Diploma	28600	13	null	null
01/01/2020	TB	800750	Elen	Hamid	Corporate	Kenya	Nairobi	Site	OFF	PA	10003657	Courses	Graphic Design	7000	4	Rogers Food Stores	null
01/01/2021	LN	40835	Sebhat	Demsas	Consumer	Kenya	Nairobi	Site	FUR	CH	10003968	Courses	Social Media	400	1	null	null
01/01/2021	VO	913663	Yoonus	Nazari	Home Office	Pakistan	Lahore	Site	OFF	PA	10000246	Diploma	HR Diploma	32000	20	null	null
01/01/2021	KA	626602	Warqa'	Salib	Corporate	Pakistan	Lahore	Site	FUR	CH	10002372	Courses	Social Media	11600	29	Avant Garde Appraisal	null
01/01/2021	JN	255387	Majd	al Din Gerges	Corporate	Pakistan	Lahore	Site	OFF	EN	10002312	Courses	Graphic Design	28000	16	Afforda Merchant Services	null
01/01/2021	SF	781242	Salwa	Zogby	Consumer	Pakistan	Lahore	Site	OFF	PA	10001450	Courses	Graphic Design	1750	1	null	null
01/01/2021	WL	563497	Sabah	Nassar	Consumer	Pakistan	Lahore	Site	TMT	VZ	49540825	Courses	ECDL	625	1	null	null
01/01/2021	SC	875625	Scott	Ahmed	Home Office	United Kingdom	Warrington	Site	LFJ	JB	38509931	Courses	Graphic Design	28000	16	null	null
01/01/2021	KU	554527	Adam	Flynn	Corporate	United Kingdom	Warrington	Site	FUR	CH	10000988	Courses	Social Media	8000	20	Present Company	null
01/01/2021	EP	735952	Reema	Sleiman	Consumer	Pakistan	Lahore	Site	FUR	TA	10001857	Courses	Microsoft Access	250	1	null	null
01/01/2021	TU	160282	Zaynab	Sabbagh	Home Office	Pakistan	Lahore	Site	TEC	AC	10001267	Diploma	Freelancer Diploma	57500	23	null	null
01/01/2021	AI	651289	Kai	Bruce	Consumer	United Kingdom	Liverpool	Hub	OFF	PA	10003883	Courses	Graphic Design	1750	1	null	null
01/01/2021	XV	465352	Tammam	Fakhoury	Corporate	Pakistan	Lahore	Site	OFF	ST	10000615	Award	Microsoft Office Award	27000	18	Gart Sports	null
01/01/2021	IN	975912	Ziad	Hanania	Consumer	Pakistan	Lahore	Site	MRS	LM	67928927	Courses	ECDL	625	1	null	null
01/01/2021	PJ	329997	Adiba	Guirguis	Corporate	Pakistan	Lahore	Site	YUM	QQ	96371325	Courses	Graphic Design	8750	5	Gene Walter's Marketplace	null
01/01/2022	TQ	695008	Yusef	Simon	Corporate	Kenya	Nairobi	Site	FUR	TA	10004289	Courses	Excel	5586	14	Quality Merchant Services	null
01/01/2022	JW	34997	Bethany	Wade	Consumer	United Kingdom	Warrington	Site	OFF	ST	10001496	Award	Microsoft Office Award	1500	1	null	null
01/01/2022	GF	837799	Naomi	Lane	Home Office	United Kingdom	Liverpool	Hub	OFF	PA	10001357	Diploma	Social Media Diploma	47499.75	25	null	null
01/01/2022	RP	708345	Tewolde	Girma	Home Office	Kenya	Nairobi	Site	OFF	BI	10001757	Courses	Executive Assistant Diploma	107973	27	null	null
01/01/2022	UF	880772	Saba'	Nahas	Corporate	Pakistan	Lahore	Site	OFF	LA	10003923	Courses	Graphic Design	40250	23	Carl Durfees	null
